Memory_Generator,Line_Size,CPI,L1_Hit_Rate,L2_Hit_Rate,Avg_Memory_Access_Time
Sequential,16,1.927130,0.937498,0.846058,3.650707
Sequential,32,1.689000,0.968749,0.713343,2.968903
Sequential,64,1.554860,0.984370,0.457904,2.588046
Sequential,128,1.277510,0.992185,0.460645,1.793841
Random till 24KB,16,2.903480,0.691565,0.997828,6.448820
Random till 24KB,32,2.899430,0.692699,0.997893,6.432670
Random till 24KB,64,2.897040,0.694730,0.997820,6.408694
Random till 24KB,128,2.886060,0.695223,0.997851,6.388589
Random,16,3.952440,0.496685,0.998113,9.445243
Random,32,3.948530,0.497727,0.998131,9.431165
Random,64,3.945690,0.498994,0.998115,9.418229
Random,128,3.937520,0.499194,0.998110,9.410817
Sequential to 4KB,16,1.005760,0.999269,0.750000,1.016446
Sequential to 4KB,32,1.004480,0.999634,0.500000,1.012813
Sequential to 4KB,64,1.003840,0.999817,0.000000,1.010991
Sequential to 4KB,128,1.001920,0.999909,0.000000,1.005476
Sequential 32B to 1MB,16,21.687610,0.000000,0.644850,60.156811
Sequential 32B to 1MB,32,21.718600,0.000000,0.644631,60.113916
Sequential 32B to 1MB,64,19.285150,0.499999,0.403282,53.273604
Sequential 32B to 1MB,128,11.101790,0.749998,0.454685,29.918690
