Memory_Generator,Line_Size,CPI,L1_Hit_Rate,L2_Hit_Rate,Avg_Memory_Access_Time
Sequential,16,1.926920,0.937498,0.845501,3.651942
Sequential,32,1.686200,0.968747,0.714379,2.961934
Sequential,64,1.556300,0.984372,0.459720,2.587071
Sequential,128,1.278120,0.992185,0.460314,1.794679
Random till 24KB,16,2.900690,0.692545,0.997878,6.426729
Random till 24KB,32,2.899250,0.693289,0.997839,6.429050
Random till 24KB,64,2.880140,0.696465,0.997860,6.373057
Random till 24KB,128,2.889550,0.694956,0.997875,6.394738
Random,16,3.945940,0.498584,0.998074,9.415937
Random,32,3.949730,0.498765,0.998100,9.420847
Random,64,3.945920,0.499586,0.998143,9.411579
Random,128,3.944620,0.500097,0.998145,9.400527
Sequential to 4KB,16,1.005760,0.999270,0.750000,1.016418
Sequential to 4KB,32,1.004480,0.999634,0.500000,1.012797
Sequential to 4KB,64,1.003840,0.999817,0.000000,1.010990
Sequential to 4KB,128,1.001920,0.999909,0.000000,1.005480
Sequential 32B to 1MB,16,21.735000,0.000000,0.644895,60.180126
Sequential 32B to 1MB,32,21.734050,0.000000,0.644964,60.194648
Sequential 32B to 1MB,64,19.269070,0.499997,0.403645,53.286080
Sequential 32B to 1MB,128,11.095050,0.749998,0.454627,29.901381
