Memory_Generator,Line_Size,CPI,L1_Hit_Rate,L2_Hit_Rate,Avg_Memory_Access_Time
memGen1,16,1.926190,0.937499,0.846583,3.648217
memGen1,32,1.686000,0.968748,0.715215,2.960398
memGen1,64,1.555310,0.984372,0.460341,2.589129
memGen1,128,1.279310,0.992185,0.465273,1.796088
memGen2,16,2.898020,0.692610,0.997843,6.422682
memGen2,32,2.896960,0.693187,0.997836,6.428059
memGen2,64,2.886510,0.695167,0.997874,6.398914
memGen2,128,2.881720,0.696162,0.997829,6.376205
memGen3,16,3.947110,0.498146,0.998123,9.427080
memGen3,32,3.942200,0.499458,0.998103,9.397648
memGen3,64,3.940870,0.499737,0.998129,9.404215
memGen3,128,3.944560,0.500167,0.998145,9.393914
memGen4,16,1.005760,0.999269,0.750000,1.016456
memGen4,32,1.004480,0.999635,0.500000,1.012788
memGen4,64,1.003840,0.999817,0.000000,1.010976
memGen4,128,1.001920,0.999908,0.000000,1.005495
memGen5,16,21.757250,0.000000,0.645214,60.228078
memGen5,32,21.676410,0.000000,0.644796,60.170976
memGen5,64,19.285230,0.499999,0.403814,53.282801
memGen5,128,11.133750,0.749999,0.455571,29.926959
