Memory_Generator,Line_Size,CPI,L1_Hit_Rate,L2_Hit_Rate,Avg_Memory_Access_Time
Sequential,16,1.923610,0.937498,0.847662,3.640402
Sequential,32,1.686700,0.968747,0.715349,2.961557
Sequential,64,1.553950,0.984372,0.459662,2.586113
Sequential,128,1.277100,0.992185,0.463602,1.793489
Random till 24KB,16,2.899840,0.692568,0.997894,6.421933
Random till 24KB,32,2.906020,0.692307,0.997852,6.435057
Random till 24KB,64,2.891940,0.694773,0.997858,6.400806
Random till 24KB,128,2.885510,0.695163,0.997806,6.392071
Random,16,3.952580,0.497767,0.998134,9.425183
Random,32,3.946220,0.499410,0.998150,9.413805
Random,64,3.940630,0.499596,0.998112,9.421965
Random,128,3.937650,0.499491,0.998100,9.405293
Sequential to 4KB,16,1.005760,0.999268,0.750000,1.016468
Sequential to 4KB,32,1.004480,0.999635,0.500000,1.012779
Sequential to 4KB,64,1.003840,0.999817,0.000000,1.010985
Sequential to 4KB,128,1.001920,0.999909,0.000000,1.005479
Sequential 32B to 1MB,16,21.733440,0.000000,0.644863,60.223002
Sequential 32B to 1MB,32,21.725160,0.000000,0.644690,60.187348
Sequential 32B to 1MB,64,19.290860,0.499999,0.402861,53.236467
Sequential 32B to 1MB,128,11.139380,0.749997,0.454407,29.925030
